City,Zone
omsk,Asia/Omsk
novosibirsk,Asia/Novosibirsk
barnaul,Asia/Barnaul
tomsk,Asia/Tomsk
novokuznetsk,Asia/Novokuznetsk
krasnoyarsk,Asia/Krasnoyarsk
irkutsk,Asia/Irkutsk
chita,Asia/Chita
yakutsk,Asia/Yakutsk
khandyga,Asia/Khandyga
vladivostok,Asia/Vladivostok
ust_nera,Asia/Ust-Nera
magadan,Asia/Magadan
sakhalin,Asia/Sakhalin
srednekolymsk,Asia/Srednekolymsk
kamchatka,Asia/Kamchatka
anadyr,Asia/Anadyr
kigali,Africa/Kigali
riyadh,Asia/Riyadh
guadalcanal,Pacific/Guadalcanal
mahe,Indian/Mahe
khartoum,Africa/Khartoum
stockholm,Europe/Stockholm
singapore,Asia/Singapore
st_helena,Atlantic/St_Helena
ljubljana,Europe/Ljubljana
longyearbyen,Arctic/Longyearbyen
bratislava,Europe/Bratislava
freetown,Africa/Freetown
san_marino,Europe/San_Marino
dakar,Africa/Dakar
mogadishu,Africa/Mogadishu
paremaribo,America/Paramaribo
juba,Africa/Juba
sao_tome,Africa/Sao_Tome
el_salvador,America/El_Salvador
lower_princes,America/Lower_Princes
damascus,Asia/Damascus
mbabane,Africa/Mbabane
grand_turk,America/Grand_Turk
ndjamena,Africa/Ndjamena
kerguelen,Indian/Kerguelen
lome,Africa/Lome
bangkok,Asia/Bangkok
dushanbe,Asia/Dushanbe
fakaofo,Pacific/Fakaofo
dili,Asia/Dili
ashgabat,Asia/Ashgabat
tunis,Africa/Tunis
tongatapu,Pacific/Tongatapu
istanbul,Europe/Istanbul
port_of_spain,America/Port_of_Spain
funafuti,Pacific/Funafuti
taipei,Asia/Taipei
dar_es_salaam,Africa/Dar_es_Salaam
kiev,Europe/Kiev
uzhgorod,Europe/Uzhgorod
zaporozhye,Europe/Zaporozhye
kampala,Africa/Kampala
midway,Pacific/Midway
wake,Pacific/Wake
new_york,America/New_York
detroit,America/Detroit
louisville,America/Kentucky/Louisville
monticello,America/Kentucky/Monticello
indianapolis,America/Indiana/Indianapolis
vincennes,America/Indiana/Vincennes
winamac,America/Indiana/Winamac
marengo,America/Indiana/Marengo
petersburg,America/Indiana/Petersburg
vevay,America/Indiana/Vevay
chicago,America/Chicago
tell_city,America/Indiana/Tell_City
knox,America/Indiana/Knox
menominee,America/Menominee
center,America/North_Dakota/Center
new_salem,America/North_Dakota/New_Salem
beulah,America/North_Dakota/Beulah
denver,America/Denver
boise,America/Boise
phoenix,America/Phoenix
los_angeles,America/Los_Angeles
anchorage,America/Anchorage
juneau,America/Juneau
sitka,America/Sitka
metlakatla,America/Metlakatla
yakutat,America/Yakutat
nome,America/Nome
adak,America/Adak
honolulu,Pacific/Honolulu
montevideo,America/Montevideo
samarkand,Asia/Samarkand
tashkent,Asia/Tashkent
vatican,Europe/Vatican
st_vincent,America/St_Vincent
caracas,America/Caracas
tortola,America/Tortola
st_thomas,America/St_Thomas
ho_chi_minh,Asia/Ho_Chi_Minh
efate,Pacific/Efate
wallis,Pacific/Wallis
apia,Pacific/Apia
aden,Asia/Aden
mayotte,Indian/Mayotte
johannesburg,Africa/Johannesburg
lusaka,Africa/Lusaka
harare,Africa/Harare
cape_town,Africa/Johannesburg
beijing,Asia/Hong_Kong
chengdu,Asia/Hong_Kong
malaysia,Asia/Singapore
